dxy_z,real_z,vix_z,risk_z,nom_z,do_ctx,mom,range_to_atr20,activity,vol_pct,spread_pts,news_lock,gap_pct,pct24h,sess_asia,sess_london,sess_newyork,sess_off,q_ok,q_degraded,q_poor,dxyZ_fresh,realZ_fresh,vixZ_fresh,risk_on_fresh,nominalZ_fresh,do_ctx_fresh,mom_fresh,target,_timestamp,_price_now
0.0,0.0,0.0,0.0,0.0,0.0,-5.102446483180525,12.295251822414198,0.10100873979248101,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T03:55:00,4343.14
0.0,0.0,0.0,0.0,0.0,0.0,-2.200728450020255,12.27605961475242,0.07332465947155462,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:00:00,4349.93
0.0,0.0,0.0,0.0,0.0,0.0,-2.5338028169012867,12.248127802562013,0.05496270294613219,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:05:00,4359.85
0.0,0.0,0.0,0.0,0.0,0.0,-2.0139790314528754,12.255914511553609,0.04486380803906885,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:10:00,4357.08
0.0,0.0,0.0,0.0,0.0,0.0,-2.9623287671232226,12.254592603641953,0.04190019209461361,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:15:00,4357.55
0.0,0.0,0.0,0.0,0.0,0.0,-4.2633079847907345,12.259628629676566,0.051470156911951476,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:20:00,4355.76
0.0,0.0,0.0,0.0,0.0,0.0,-5.877346683354519,12.243578426539674,0.0629849340406328,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:25:00,4361.47
0.0,0.0,0.0,0.0,0.0,0.0,-3.074041811846862,12.230090603442749,0.04789536877740366,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:30:00,4366.28
0.0,0.0,0.0,0.0,0.0,0.0,-2.3615455381785506,12.223903454053918,0.03323047725349156,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:35:00,4368.49
0.0,0.0,0.0,0.0,0.0,0.0,-2.405797101449398,12.219931302933013,0.015438786860224523,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:40:00,4369.91
0.0,0.0,0.0,0.0,0.0,0.0,-1.400881057268729,12.197796173455401,0.016935213524640218,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:45:00,4377.84
0.0,0.0,0.0,0.0,0.0,0.0,0.14190687361415902,12.187662616284909,0.002582319741546293,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:50:00,4381.48
0.0,0.0,0.0,0.0,0.0,0.0,1.2804232804231537,12.197266807216945,0.018940324317269604,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T04:55:00,4378.03
0.0,0.0,0.0,0.0,0.0,0.0,1.798913043478181,12.195818250334012,0.019533727941744725,50,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2025-10-17T05:00:00,4378.55
